task_language;rider_ml_message
"""es""";"""Quiero pedir Y no me permite"""
"""es""";"""Hola buenas tardes"""
"""es""";"""El conductor cambio de ruta"""
"""hy""";"""Sran sovoracreq ashxatelu kanonner@ kam haneq ashxatanqic nshela hasela indzanic hatuk gumar gandzelu noatakov u hnacela lriiiv ush uxxutyamb zangerin el chi patasxanum anjatuma yes el erexu het drsum spasum ei"""
"""ur""";"""Itni dair wait kia yeh rider nahi aya"""
"""ru""";"""Пусть служба поддержки позвонит мне тогда это вещи очень важно никак не могу объяснить вам"""
"""en""";"""Driver left without me Help I am terrified"""
"""es""";"""Porque me marca una deuda si eh pagado por efectivo"""
"""ru""";"""Пусть этот водитель не приезжает ко мне больше вообще"""
"""ru""";"""Разберитесь пожалуйста с таксистом он уехал не забрал"""
"""en""";"""Hi, I paid this Yango cash... can you please update your system,  it shows I didn't pay.  This is the second time it's happening"""
"""uz""";"""Assalomu aleykum"""
"""es""";"""Buenos días"""
"""ru""";"""Раньше я могла сама видеть свой рейтинг в такси? Почему с переездом в другую страну я теперь не вижу свой рейтинг? В Грузии алгоритмы как-то по-другому настроены, чем в России?"""
"""es""";"""Hola"""
"""es""";"""Buenas ya me comunique con el"""
"""es""";"""hola"""
"""pt""";"""Boa tarde.  Espero que estejam bem! Têm um delivery do vosso aplicativo que não entregou a encomenda! A 6 dias. Como proceder? Boa tarde.  Espero que estejam bem! Têm um delivery do vosso aplicativo que não entregou a encomenda! A 6 dias. Como proceder?"""
"""ru""";"""Расскажите пожалуйста, почему надо платить 999 (тысячу) рублей за поездку с водителеи в прокуренной машине, с низким рейтингом, который жалуется что цена поездки маленькая! На просьбу перестать жаловаться, потому что обычно эта поездка стоит 700 (этот маршрут почти каждую неделю использую) продолжил жаловаться что цену назначает не он, а яндекс, да ещё и комиссия по кго словам огромная. Дальше просить я не стпл, потому сто бесполезно. Кроме того зеркало заднего вида в салоне у него не для того, чтобы видеть что происходит сзади на дороге, а настроено на пассажира. 1000 рублей! За 20 км. Низкий рейтинг. Эконом. Я буквально вот сейчас за 1300 еду 45 км в комфорт плюс с водителем с высоким рейтингом, который очень хорошо водит. Мне кажется яндексу следует пересмотреть систему ценообразования и давать больше денег тем кто работает хорошо и меньше денег тем, кто работает хуже, как первый водитель… тысяча рублей вместо 700, а он жалуется"""
"""en""";"""Cancel the delivery made for my number. I don't authorize the use of my number for this"""
"""ru""";"""Ребята, я написала что водитель не виноват и это ошибка карт. Не нужно пересчитывать рейтинг водителя пожалуйста Потому что он подъехал как только я отменила. На карте у меня он указывался уже далеко"""
"""es""";"""Tipo de Servicio:: Viajes  Identificación del consumidor reclamante:: Persona Natural  Nombre:: Yolanda   Domicilio:: Victor li Carrillo 411  Tipo de Documento de Identidad:: DNI  Número de Documento: 44560050  Teléfono: 933838929  Correo Electrónico: Cerronyolanda@gmail.com  ¿Eres mayor de edad?: Si  Tipo de solicitud:: Queja (Disconformidad no relacionada con los servicios)  Monto reclamado: 26.50  Detalle del Producto o Servicio: Viaje  Detalle de la Reclamación o Queja: El conductor que debió llevarme me canceló si antes preguntar, subí al carro y me canceló, nunca me habían hecho eso, yo estoy con la hora y me hacen eso no es justo   Fecha de Envío: 2026-04-05"""
"""es""";"""Yo cancele"""
"""uz""";"""Qabul qlgan taksi atkaz qldi qushb berasan db"""
"""en""";"""The previous ride the driver overcharged me"""
"""sr""";"""Ovaj tekefon ne funkcionishe Molim da mi date broj vozaca"""
"""en""";"""Hi"""
"""hy""";"""xndrum em duq el zangeq        Чт, 14 мая 2026 г. в 23:43, Angelina Arakelyan <[angelinaarakelyan077@gmail.com](mailto:angelinaarakelyan077@gmail.com)>:   > chi patasxanum   > >  > > Чт, 14 мая 2026 г. в 23:40, Ani <[support.taxi@go.yandex.com](mailto:support.taxi@go.yandex.com)>:   > > Բարև Ձեզ:   > > > > Մոռացված իրն արագ վերադարձնելու համար խնդրում ենք կապ հաստատել վարորդի հետ: Դրա համար սեղմեք +37498463071,18471 և զանգի կոճակը:   > > > > Եթե չհաջողվեց կապվել նրա հետ առաջին անգամից, փորձեք կրկին մի փոքր ուշ, քանի որ հնարավոր է՝ նա արդեն ավարտել է հերթափոխը կամ ղեկին է։   > > > Heraxos enq taxu mej vorov zakazy arel enq, 094977477 hamarov a zakazy, kia forte, grel enq support asel en dzez grenq   > > > > > >  > > > > > > 094977477   > > > 14.05.2026   > > > motavor 22:30-23:00   > > > 2000 dram (karox a sxalvem)   > > > skizb saryan poxoc - avart neqin shengavit, vahram aristakesyan 40/3   > > > menak hnaravoruns shut arden 30 rope a grum   > > > enq   > > >"""
"""es""";"""buenas tardes por favor necesito soporte sobre el correo que me llego sobreuna factura de un pago que nunca me ha llegado a mi cuenta bancaria ya hacemás de 22 días sigo esperando,  necesito que me ayuden y me cancelen midineroel mar., 12 de mayo de 2026 7:08 p. m., support <support@yango.com>escribió:> queremos recordarte que por parte de soporte nunca nos comunicaremos> contigo desde un número distinto al +57 300 910 8819 (yango pro) o tu> socio. además, nunca solicitaremos tu código de autenticación, ya que este> es personal y no debe ser compartido con nadie.>> si alguien se comunica contigo desde otro número o te solicita este> código, por favor no lo compartas y repórtalo de inmediato con tu socio> para que podamos tomar las medidas necesarias.>> la seguridad de tu cuenta es nuestra prioridad.>> estaré pendiente por si necesitas algo más o tienes más preguntas.> ¡espero que tengas un lindo día!>> yango support team>"""
"""ru""";"""Регион: AZ  Кто обращается?: Клиент  Причина эскалации: Забытый телефон  Телефон для связи: +994 55 448 20 06  Телефон, указанный в заказе: +994 55 448 20 06  Дата поездки: 2026-05-15  Время поездки: 23:23  Комментарий: -"""
"""en""";"""Why is it showing zero. We have paid the bill to him Rs. 270/-"""
"""fr""";"""J’ai payé deux la course sans faire exprès pouvez-vous me donner mon argent"""
"""ru""";"""Реквизиты    ИП ООО <<SAURER INTELLIGENT MACHINERY>>   Юр.адрес: г.Ташкент, Чиланзарский район, 3-й квартал, дом-44a.   Адрес: г.Ташкент, Яккасарайский р-н ул. Кичик Бешёгоч д.70 кв. 30   ИНН: 306 338 776 ОКЕД:82990   Регистрационный номер НДС: 326 040 041 370   р/с: 2021 4000 5050 6501 2001   SWIFT CODE: KACHUZ22   МФО: 01088   Банк: ТОШКЕНТ Ш., \\\""КАПИТАЛБАНК\\\"" АТ БАНКИНИНГ БОШ ОФИСИ   Тел: +998-90-0548776   E-mail: info.sim@saurer.com   Директор MADAMINOV A.M.  Best Regards,   Aydin Risbekova  **From:** Biznes uchun Yandex Go <corpuzbekistan@taxi.yandex.com>    **Sent:** Monday, April 13, 2026 2:58 PM   **To:** Risbekova, Aydin <Aydin.Risbekova@saurer.com>   **Subject:** Manzil o'zgarishi / Смена адреса  ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌       ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌      ‌ ‌      ‌      ‌      ‌          ![Image removed by sender.](cid:~WRD0000.jpg)  ![Image removed by sender. Manzil o'zgarishi](cid:~WRD0000.jpg)  **Hurmatli mijoz**   Sizga shuni maʼlum qilamizki, 2026-yil 27-martda <<YGO UB>> MCHJ manzili quyidagi manzilga oʻzgartirildi:  100015, TOSHKENT SHAHRI, MIROBOD TUMANI, LOLAZOR MFY, FIDOKOR KO'CHASI, 30-UY (100015, O'zbekiston Respublikasi, Toshkent shahri, Mirobod tumani, Lolazor MFY, Fidokor ko'chasi, 30-uy)   Manzil o'zgarishi bo'yicha [__rasmiy bildirishnoma__](https://click.sender.yandex.ru/l/2132032/2291799/1/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==/*https:/docs.360.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2Fjr4BwUHvEEdP8r3XkKlnrQrj05Ai4b4LsliKkHrp3dGUUTpG87mbDxw90E8KmZEGlsg4VIaLrfRKbQetv4dueQ%3D%3D%3A%2F%D0%A3%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%20YGO%20UB.pdf&name=%D0%A3%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%20YGO%20UB.pdf&nosw=1) va [__to'g'risidagi guvohnoma (ma'lumotnoma)__](https://click.sender.yandex.ru/l/2132032/2291799/2/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==/*https:/docs.360.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2Fjr4BwUHvEEdP8r3XkKlnrQrj05Ai4b4LsliKkHrp3dGUUTpG87mbDxw90E8KmZEGlsg4VIaLrfRKbQetv4dueQ%3D%3D%3A%2F%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20(%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0)%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%2027.03.2026.pdf&name=%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20(%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0)%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%2027.03.2026.pdf)  **Уважаемый клиент**   Уведомляем вас о том, что 27.03.2026 был изменен адрес ООО <<YGO UB>> на следующий:  100015, ГОРОД ТАШКЕНТ, МИРАБАДСКИЙ РАЙОН, LOLAZOR MFY, FIDOKOR KO'CHASI, 30-UY (100015, Республика Узбекистан, город Ташкент, Мирабадский район, МСГ Лолазор, ул. Фидокор, дом 30)   [__Официальное уведомление__](https://click.sender.yandex.ru/l/2132032/2291799/3/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==/*https:/docs.360.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2Fjr4BwUHvEEdP8r3XkKlnrQrj05Ai4b4LsliKkHrp3dGUUTpG87mbDxw90E8KmZEGlsg4VIaLrfRKbQetv4dueQ%3D%3D%3A%2F%D0%A3%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%20YGO%20UB.pdf&name=%D0%A3%D0%B2%D0%B5%D0%B4%D0%BE%D0%BC%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%20YGO%20UB.pdf&nosw=1) и [__свидетельство (справка)__](https://click.sender.yandex.ru/l/2132032/2291799/4/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==/*https:/docs.360.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2Fjr4BwUHvEEdP8r3XkKlnrQrj05Ai4b4LsliKkHrp3dGUUTpG87mbDxw90E8KmZEGlsg4VIaLrfRKbQetv4dueQ%3D%3D%3A%2F%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20(%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0)%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%2027.03.2026.pdf&name=%D0%A1%D0%B2%D0%B8%D0%B4%D0%B5%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE%20(%D1%81%D0%BF%D1%80%D0%B0%D0%B2%D0%BA%D0%B0)%20%D0%BE%20%D1%81%D0%BC%D0%B5%D0%BD%D0%B5%20%D0%B0%D0%B4%D1%80%D0%B5%D1%81%D0%B0%2027.03.2026.pdf) о смене адреса  **Biznes uchun Yandex Go jamoasi**   [__ Savol berish__](https://click.sender.yandex.ru/l/2132032/2291799/5/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==/*https:/t.me/yandex_go_uzb_corp_bot)  Biznes uchun Yandex Go -- yuridik shaxslar uchun xizmatlar.   Batafsil: [https://business.go.yandex](https://business.go.yandex/)  [__Tarqatmalarga obunani bekor qilish__](https://unsubscribe.yandex.ru/unsubscribe/L/T0Q0QlBUbDZId0VVTHdncUN5SUZNRXN3QUNBb0FGc3pQQjErQkZKd2RrRlVkQXNLQVFCaFozZHphSEI2WVhvQ1pIbEpDd1JSUlF0bgpaUngzZEc1RkEyd2ZCbjRDUWdKd1dGaDdBVm9CZUgwQURXd1pBaTVoQjNwQVZnQkVVR0JkVXpWeEF3Z0dlRFlHV3c0ZkxSWWZIQ3BECkdoUVRGRkZRUWxFb0FCbzhiZz09OjE2NjQ6MA==)  © 2011-2026 \\\""Yandex Taxi\\\"" MCHJ  ![Image removed by sender.](cid:~WRD0000.jpg)"""
"""es""";"""Hola"""
"""fr""";"""Bonjour Yango"""
"""en""";"""Hi"""
"""es""";"""Buenas Hola ?"""
"""en""";"""Hi driver took the wrong route and increased the charge"""
"""ru""";"""Рюкзак взял но один покатик забыл. Мой последний заказ."""
"""ru""";"""С вашими головами что-то Не так вы разбирайтесь там в вашей конторе что к чему разные вещи вы мне пишете работайте мозгами я вам говорю мозги есть по-моему у вас"""
"""es""";"""buenos días mi nombre es andy bejar ci 28309028 tengo problemas enregistrar cuenta por qué no me llega el mensaje mi número es 04220206955 sele agradeceria su ayuda[created via e-mail received from: andybejar210@gmail.com]"""
"""en""";"""4 May 2026  Rides Support, 20:11: I'm sorry for the driver’s refusal of your order. I have reported this feedback to our Quality Control team, who will investigate this issue.  As an apology, I would like to give you this promo code 20zm9373209955322611 for ZMW20 off.  My colleagues and I stay at your disposal if you have any further questions. Hello,"""
"""en""";"""Hii Tomorrow night I book ka ride from bahria town to Tariq road your ride accept the ride and and asking me double fair so I refuse they cancel the ride this happen twice"""
"""ru""";"""С карты денег снято, один во время поездки второй после. Приложение показывает что у меня долг?"""
"""ru""";"""С меня сняли деньги, хотя водитель уехал без меня"""
"""ru""";"""С меня списали сумму 1246.58 2 раза вы можете с этим разобраться?"""
"""fr""";"""Bonjour J’aimerais savoir si le chauffeur viens déjà vers nous"""
"""ru""";"""С моим заказом проблема"""
"""ur""";"""Hello AOA Apk driver na ride accept ki Us na tb koi fare ni pocha Jb ma gari ma bethi, us na fare pocha myny btya Kehta cancel kro mjy yeh waara ni khata Koi or gari krlo Like what the hell aisy kesy apk drivers gari sa utar skty Apk drivers kch smjhty he ni passenger ko Dekhty akeli lerki ha phr aisi hrkty kerty ye knsa tareeqa ha Itna insulting hota ha aisy utarna gari sa or bad ma ghusy sy ghorta rha Falto insan hain ap ku ni aisy drivers ko nikalty"""
"""ru""";"""С этим заказом было проблема  Водитель не смог найти меня и я было вынуждена отменить заказ"""
"""es""";"""El servicio se pago directo al conductor a través de NEQUI"""
"""en""";"""Hello"""
"""uz""";"""Qancada qaytariladi"""
"""fr""";"""C'est le policier qui a arrêté le chauffeur Non ca va"""
"""es""";"""No creo que haya sido a propósito dado que era un señor mayor que tal vez no comprende bien si se le pagó con ese método de pago pero de todas maneras que hacemos con mi doble pago? Ahh ya lo anulo disculpe no leí bien Gracias"""
"""en""";"""I need a car for rent for 1 hour , i need a sedan Ok"""
"""sr""";"""Причина эскалации: Urgent  Телефон для связи: +381 60 7200119  Телефон, указанный в заказе: +381 60 7200119  Дата поездки: 2026-05-14  Время поездки: 16:28  Комментарий: klijent ne moze da plati karticom ima problem vozac sa placanjem, nece da prihvati, zuri"""
"""sr""";"""Причина эскалации: Urgent  Телефон для связи: +381 63 245625  Телефон, указанный в заказе: +381 63 245625  Дата поездки: 2026-05-14  Время поездки: 16:00  Комментарий: klijentkinja ima dina karticu, taksista joj trazi telefon nece da joj stane ne zna gde je vozi"""
"""es""";"""Hola"""
"""ka""";"""გამარჯობა, ახლა რისი თანხა ჩამომეჭრა 2,20 ????"""
"""uz""";"""Qachon farg'ona tumanida shaxarlar aro tarif ochiladi"""
"""hy""";"""Շնորհակալ եմ 🤗"""
"""es""";"""Buenas tardes, tengo una queja"""
"""fr""";"""J’ai commandé une course et le conducteur m’as dit d’annuler"""
"""ur""";"""Wo bol ra tha ap log local chly jaty yango waly kam fare bnaaty hen Wo zbrdsti pese le k gya Me ny apny bachon ko bheja tha usny bcho sth btmizi ki"""
"""ru""";"""С этой номером могу с ним связаться?"""
"""ru""";"""салам алейкум"""
"""es""";"""Cuando pedí el taxi me pedía un monto pero cuando entramos al taxi  nos cobró de más con un tono muy mal educado  nos quiso bajar del auto Me dieron el precio de 5 bs y me cobraron 7  y me trato mal diciendo q ese es el precio si no puede bajarse y pedir otro auto y esperar otro no era opción"""
"""fr""";"""Bonsoir"""
"""es""";"""Requiero cambiar el medio de pago a efectivo"""
"""es""";"""Cuánto costaba el viaje ?"""
"""uz""";"""Man nima qile  10 marta yozdim"""
"""ar""";"""لا شكرا راح امسح البرنامج"""
"""pt""";"""Para viajar"""
"""en""";"""I called 2 times taxi, and 2 times I saw the ride started and finished in another place"""
"""hy""";"""Շատ շնորհակալություն"""
"""uz""";"""bu qanday ahmoqgarchilik nima uchun yoq shofirkaringa mandan 9000 olaszlar korsatilgan manzilda yoq mashina"""
"""ur""";"""bhai isne wait time k alag Sy charges liye"""
"""en""";"""hey, failing to pay and use the discount"""
"""fr""";"""Bonjour, j’ai effectué une course pour me rendre au Banco (je ne connaissais pas) Le prix était 3900 Mais il s’avère que c'était pas la localisation exacte Le chauffeur m’a déposé au bon endroit (c’était plus proche que ce qui était sur la localisation) , à la fin de la course ça a marqué 2500, mais il m’a quand même fait payé 3900"""
"""ur""";"""Assalamualaikum kl Mai ne Raat Mai Jo ride order ki thi, wo bhot zyda Paisy Mang Raha tha ride off krny Kay bad Unho ne ride off Kay bad 150 extra charge Kiya that's not fare."""
"""ru""";"""Салам Ния заказ вермир"""
"""sr""";"""Zaboravio sam torbu u taksiju."""
"""ru""";"""Самый ужасный водитель которого я когда либо встречала"""
"""ru""";"""Сбой локации машина не приехала"""
"""fr""";"""Bonjour on a perdi un petit animal dans là voiture mais le driver il parle pas francaise"""
"""ru""";"""Свяжитесь с водителем  пожалуйста, наша поилка детская в мошине не выпала?"""
"""en""";"""Good evening"""
"""ka""";"""თანხა რატომ მომაჭრა"""
"""ru""";"""Связалась с водителем, он подтвердил, что получил деньги переводом, но сказал что в Яндекс  такси больше не работает и переводить обратно не будет таким образом, я дважды оплатила поездку и проблема не решена"""
"""ar""";"""AsSalam O Aleikum"""
"""ru""";"""Сегодня был таксист который отказался нас вести как написать жалобу"""
"""az""";"""Salam Sürücü çağıra bilmirəm, program işləmir Nə edim"""
"""ka""";"""სალამი, კილომეტრში გააჩერა მანქანა და მოლოდინის რეჟიმი ჩართო, ამათ რატომ ამუშავებთ? ეს პირველი შემთხვევა ხომ არ არის?"""
"""ru""";"""Сегодня произошёл довольно неприятный инцидент. Когда поездка уже почти подошла к концу, водитель начал задавать личные вопросы и настойчиво просить мой номер телефона с целью знакомства. Это вызвало у меня дискомфорт и оставило после себя осадок на весь оставшийся день. Прошу обратить внимание на данную ситуацию и принять соответствующие меры."""
"""ru""";"""Сейчас мы приехали а он накричал нам и матерился увольте его пожалуйста"""
"""hy""";"""Բարև Ձեզ ես այս մեքենայում իր եմ թողել հնարավոր է գտնել շատ եմ խնդում օգնեք"""
"""ru""";"""Сервис Яндекс драйв списывает денежные средства, но я не являюсь пользователем"""
"""en""";"""Cancel the ride and it's networking issue"""
"""es""";"""Si Pero quiero que me saque de la duda joven angel es verdad que mis recorridos son muy largos y que me pueden suspender la cuenta"""
"""ru""";"""Скажите а это нормально что у вас дети могут взять самокат в прокат? Они гоняют на них как бешеные по тротуарам"""
"""ro""";"""Bună ziua! Șoferul a scris ca nu vrea să meargă din cauza că achitarea e cu cardul"""
"""az""";"""Salam, 2 unvan vurulmushdu, bir unvanda dushdum, mashin surub qetdi, qedishi bagladi!"""
"""ru""";"""Скажите этому пидарасу что я ему в рот ебал"""
"""en""";"""I am reporting an issue regarding a trip today.  The driver took a long route despite my instructions.  The original fare was 213 PKR but the driver insisted on being paid 350 PKR. Even though he was polite he was very persistent and pressured me to pay the extra 137 PKR.  Please look into this overcharging issue."""
"""ru""";"""Сколько  можно  в режиме по делам сунуть противоположные направление и в случае отказа снимать баллы,уже раз 10 об этой проблеме обратился к вам ,но никакого результата ((("""
"""ru""";"""Скорее пожалуйста"""
"""es""";"""Buenos días"""
"""es""";"""Hola buenos días"""
"""ru""";"""Сложилась опасная ситуация- у водителя отказали тормоза - Он еле остановился. Говорит тормозные колотки стерлись совсем. Так что пришлось завершить заказ на пол пути. Водитель должен колотки вовремя менять ! Талон не допустимо - говорит колотки в ноль стерлись. Пассажир - я - подвергся риску!"""
"""es""";"""Gracias"""
"""hy""";"""Bari or uzum em  or chexarkeq 400 minusy vorovhetev varordy der chhasac scmel e vor texum e sakayn dimaci maytin er"""
"""fr""";"""Je veux faire une livraison Mais sa ne passe pas sur yango lite"""
"""ro""";"""Bună, încă se încearcă să se retragă bani, va rog să anulați tranzacția, șoferul m-a mințit, eu nu am mers cu acea cursă, vă dus în judecată"""
"""ru""";"""Случайно указал точку откуда уезжаю и точку куда еду одно и тоже  Водитель взял с меня двойную оплату , почему ?"""
"""en""";"""Hello, Why did I charge 200 rupees more ? Car didn't stop at the location that is not my fault"""
"""ru""";"""Смените способ оплаты на наличные ?"""
"""az""";"""Salam mənim ödənişimi geri qaytarln zəhmət olmasa Sürücü məhləyə gəlmədi yol kənarında saxlayıb"""
"""es""";"""Pero cuando abro esa opción me sale error y no puedo visualizar viajes"""
"""ka""";"""გამარჯობათ ანგარიშზე არ ჩამომაჭრათ რადგან ქრშით არის გადახდილი ბოლო გამოძახება მიჩვენებს რომ დავალიანებაში ვარ"""
"""fr""";"""Je me suis faite volé mon téléphone a bord de ce véhicule. A la descente de la bretelle allant au pont HKB le chauffeur a ralentit donnant la facilité a l'agresseur de tirer mon téléphone par la vitre alors que je tenait le téléphone en mains."""
"""az""";"""Salam bu masinda gozleme olmayib catmamis unvana gozleme rejimine basib zehmet olmada elve gozleme halkini geri qaytarirdiz"""
"""uz""";"""Assalomu alaykum, kecha taksist meni oldimga kelguncha yo'ldan odam olib, meni oldimdan to'xtamay o'tib ketdi. Telefon qilsam hozir qaytaman deydi. Men shoshib turgan edim. Meni zakazimni olib, yana qanaqasiga yo'ldan odam olishi mumkin. Sal ma'suliyatli odamlar bilan shartnoma qilezlar"""
"""ru""";"""Сначала от водителя пришло сообщение, что он боится ко мне ехать, потом водитель не приехал (на карте было видно, что он далеко), но при этом включил платное ожидание, когда я позвонила, водитель трубку взял, но слов было не разобрать, как-будто водитель что сделал со звуком телефона, чтобы я не могла с ним поговорить. Мне пришлось отменить поездку."""
"""es""";"""Hola, buen día. Quisiera poner un reclamo del viaje realizado el día de hoy"""
"""ru""";"""Сняли за заказ не 2026, а 2826"""
"""ru""";"""Совершенно не знает город! Ехали только по навигатору, пока он работал! Потом потерялся! Пытался ему подсказать не слушал ехали больше часа, пол города объехали! Потерял время и это комфорт?"""
"""ru""";"""Соедините меня срочно с водителем . Я забыла пакет с лекарствами срочно нужно. Заранее спасибо . +998878480900 мой номер"""
"""ru""";"""Созвонились жду водителя Возле входа отель хилтон"""
"""tr""";"""ben bu yokculuk için post cihazından ödeme yaptım ama ödemedi gözüküyor düzeltebilir misiniz"""
"""es""";"""Pedi un servicio hoy en Cali, al solicitarlo seleccione con a. Acondicionado por 12.500 , espere los 6 min. mientras llegaba y decia que el viaje costaba 12.500, pero a mitad de viaje, me salio un mensaje que decia que no podia procesar pago de mi tarjeta, cuando el viaje estaba estipulado para pago en efectivo, y al finalizar el viaje , decia que debia 19.500 , los cuales les pagué al conductor, quien nó tiene la culpa y dió  un buen servicio, el error es de la plataforma.  Me parece poco serio, si iban a cambiar el precio deben informar al cliente antes de que se pida el servicio. El conductor by el vehiculo, muy bien, pero me molesta el calbio del costo, no es serio."""
"""es""";"""El chófer me cobró un monto mayor al que indicaba la aplicación Hola?"""
"""en""";"""Dear sir madam"""
"""es""";"""Osea que doy por perdido el objeto?"""
"""en""";"""Driver come to place, waited 1 minute and finish order and money is paid"""
